Date,close,ticker,name,category,indexed
2021-12-27,140.4023895263672,JPM,JPMorgan Chase,traditional_bank,164.18256978585043
2021-12-28,140.82847595214844,JPM,JPMorgan Chase,traditional_bank,164.68082316011012
2021-12-29,140.75746154785156,JPM,JPMorgan Chase,traditional_bank,164.59778093106684
2021-12-30,140.6864471435547,JPM,JPMorgan Chase,traditional_bank,164.51473870202355
2021-12-31,140.571044921875,JPM,JPMorgan Chase,traditional_bank,164.3797906190295
2022-01-03,143.54486083984375,JPM,JPMorgan Chase,traditional_bank,167.85728655858748
2022-01-04,148.98666381835938,JPM,JPMorgan Chase,traditional_bank,174.22077652692025
2022-01-05,146.26290893554688,JPM,JPMorgan Chase,traditional_bank,171.03569486530841
2022-01-06,147.81678771972656,JPM,JPMorgan Chase,traditional_bank,172.85275661748338
2022-01-07,149.28138732910156,JPM,JPMorgan Chase,traditional_bank,174.56541783632525
2022-01-10,149.42425537109375,JPM,JPMorgan Chase,traditional_bank,174.73248367013107
2022-01-11,149.5760955810547,JPM,JPMorgan Chase,traditional_bank,174.91004130253538
2022-01-12,150.4244384765625,JPM,JPMorgan Chase,traditional_bank,175.90206940913598
2022-01-13,150.2369384765625,JPM,JPMorgan Chase,traditional_bank,175.68281223026108
2022-01-14,141.00283813476562,JPM,JPMorgan Chase,traditional_bank,164.88471734818006
2022-01-18,135.09088134765625,JPM,JPMorgan Chase,traditional_bank,157.97144285872963
2022-01-19,133.00115966796875,JPM,JPMorgan Chase,traditional_bank,155.52778163141224
2022-01-20,131.86703491210938,JPM,JPMorgan Chase,traditional_bank,154.20156832761532
2022-01-21,129.5629425048828,JPM,JPMorgan Chase,traditional_bank,151.5072280552122
2022-01-24,129.4468536376953,JPM,JPMorgan Chase,traditional_bank,151.37147702844786
2022-01-25,130.8578338623047,JPM,JPMorgan Chase,traditional_bank,153.02143726042723
2022-01-26,132.0991973876953,JPM,JPMorgan Chase,traditional_bank,154.47305253794914
2022-01-27,129.76834106445312,JPM,JPMorgan Chase,traditional_bank,151.74741530169942
2022-01-28,130.9293212890625,JPM,JPMorgan Chase,traditional_bank,153.10503262851228
2022-01-31,132.70648193359375,JPM,JPMorgan Chase,traditional_bank,155.1831938515919
2022-02-01,134.9837188720703,JPM,JPMorgan Chase,traditional_bank,157.8461301009791
2022-02-02,133.90316772460938,JPM,JPMorgan Chase,traditional_bank,156.58256425446
2022-02-03,132.7957305908203,JPM,JPMorgan Chase,traditional_bank,155.2875586985352
2022-02-04,136.24290466308594,JPM,JPMorgan Chase,traditional_bank,159.31858623013886
2022-02-07,136.6983642578125,JPM,JPMorgan Chase,traditional_bank,159.8511877545722
